exon_id,n_variants,n_saturated,saturation_fraction,passes_75_10_90
OCRL_e15,406,2,0.0049261083743842365,True
ODF2L_e7,334,23,0.0688622754491018,True
OSBPL3_e12,314,93,0.2961783439490446,True
OTC_e7,25,0,0.0,True
PAH_e11,399,14,0.03508771929824561,True
PAK5_e2,318,312,0.9811320754716981,False
PALB2_e12,447,8,0.017897091722595078,True
PALLD_e20,399,0,0.0,True
PALS1_e2,4,2,0.5,True
PARP11_e3,326,10,0.03067484662576687,True
PAX6_e6,126,59,0.46825396825396826,True
PCDH11X_e8,89,21,0.23595505617977527,True
PCDH15_e31,27,16,0.5925925925925926,True
PCIF1_e9,214,47,0.21962616822429906,True
PCLO_e16,78,12,0.15384615384615385,True
PDE2A_e5,98,5,0.05102040816326531,True
PDE6B_e14,310,67,0.2161290322580645,True
PDHA1_e2,275,14,0.05090909090909091,True
PDZRN4_e3,321,309,0.9626168224299065,False
PEX3_e4,18,0,0.0,True
PFKM_e4,288,84,0.2916666666666667,True
PGAP2_e3,255,72,0.2823529411764706,True
PGAP4_e2,161,17,0.10559006211180125,True
PHEX_e16,146,0,0.0,True
PHF21A_e3,330,47,0.14242424242424243,True
PHKA2_e9,147,8,0.05442176870748299,True
PHKG2_e4,165,3,0.01818181818181818,True
PHYHD1_e11,255,12,0.047058823529411764,True
PIWIL4_e6,243,206,0.8477366255144033,False
PKD1L1_e43,252,98,0.3888888888888889,True
PKHD1_e10,119,2,0.01680672268907563,True
PKHD1_e66,308,0,0.0,True
PLB1_e42,286,25,0.08741258741258741,True
PLCL1_e5,330,88,0.26666666666666666,True
PMS2_e13,303,282,0.9306930693069307,False
PMS2_e4,150,10,0.06666666666666667,True
PMS2_e9,254,254,1.0,False
PNKD_e3,241,5,0.02074688796680498,True
PNKP_e9,147,73,0.4965986394557823,True
POLE_e11,256,13,0.05078125,True
POMGNT2_e2,323,89,0.2755417956656347,True
POPDC2_e4,249,23,0.09236947791164658,True
POSTN_e18,270,24,0.08888888888888889,True
PPIP5K2_e27,298,25,0.08389261744966443,True
PPP2R5C_e15,348,18,0.05172413793103448,True
PPP3CA_e13,90,42,0.4666666666666667,True
PRDM8_e2,294,210,0.7142857142857143,True
PRG4_e6,385,35,0.09090909090909091,True
PRKAR1A_e6,46,0,0.0,True
PROC_e8,224,18,0.08035714285714286,True
PRPF31_e9,150,100,0.6666666666666666,True
PRRC2B_e31,245,176,0.7183673469387755,True
PTEN_e4,121,1,0.008264462809917356,True
PTPRF_e14,79,31,0.3924050632911392,True
PTPRG_e14,261,18,0.06896551724137931,True
PTPRN2_e10,76,41,0.5394736842105263,True
PTPRR_e5,332,285,0.858433734939759,False
PTS_e3,69,18,0.2608695652173913,True
PYROXD2_e2,60,5,0.08333333333333333,True
R3HCC1L_e3,291,25,0.0859106529209622,True
RAD1_e3,321,18,0.056074766355140186,True
RAD50_e22,258,253,0.9806201550387597,False
RAD51C_e5,396,0,0.0,True
RAD51D_e3,275,34,0.12363636363636364,True
RAI14_e11,260,18,0.06923076923076923,True
RALGPS1_e6,270,55,0.2037037037037037,True
RANBP17_e9,340,73,0.21470588235294116,True
RASAL2_e16,93,25,0.26881720430107525,True
RB1_e24,91,5,0.054945054945054944,True
RBM15_e2,295,37,0.12542372881355932,True
RBPJ_e2,278,126,0.45323741007194246,True
RELCH_e23,249,24,0.0963855421686747,True
RET_e19,429,2,0.004662004662004662,True
RHBG_e7,373,1,0.002680965147453083,True
RIC8B_e9,336,53,0.15773809523809523,True
RIMS1_e22,270,22,0.08148148148148149,True
RIMS2_e3,261,181,0.6934865900383141,True
RNF32_e2,314,21,0.06687898089171974,True
ROBO1_e20,81,20,0.24691358024691357,True
RPL15_e3,409,4,0.009779951100244499,True
RYR1_e77,156,4,0.02564102564102564,True
RYR1_e8,274,10,0.0364963503649635,True
RYR1_e94,261,17,0.06513409961685823,True
RYR2_e89,246,167,0.6788617886178862,True
RYR2_e97,397,0,0.0,True
SANBR_e18,87,8,0.09195402298850575,True
SCN10A_e25,405,6,0.014814814814814815,True
SCN1A_e25,89,0,0.0,True
SCN2A_e23,38,0,0.0,True
SCN3A_e7,276,15,0.05434782608695652,True
SCN5A_e24,159,7,0.0440251572327044,True
SCN5A_e6,256,24,0.09375,True
SCN8A_e6,272,64,0.23529411764705882,True
SDHB_e4,408,2,0.004901960784313725,True
SDHC_e3,304,284,0.9342105263157895,False
SERPING1_e6,415,0,0.0,True
SHOC1_e22,334,123,0.36826347305389223,True
SLC12A2_e21,8,1,0.125,True
SLC12A5_e3,344,32,0.09302325581395349,True
SLC25A31_e3,337,63,0.18694362017804153,True
SLC25A38_e2,70,7,0.1,True
SLC25A48_e8,413,156,0.37772397094430993,True
SLC26A3_e9,441,0,0.0,True
SLC26A4_e15,279,193,0.6917562724014337,True
SLC8A1_e3,321,12,0.037383177570093455,True
SLMAP_e24,270,80,0.2962962962962963,True
SMARCC2_e18,274,14,0.051094890510948905,True
SMN2_e7,162,19,0.11728395061728394,True
SNAP25_e5,307,6,0.019543973941368076,True
SNAP25_e5B,299,8,0.026755852842809364,True
SNRNP70_e8,180,134,0.7444444444444445,True
SNUPN_e2,445,169,0.3797752808988764,True
SPAST_e11,276,41,0.14855072463768115,True
SPAST_e13,121,3,0.024793388429752067,True
SPAST_e16,116,3,0.02586206896551724,True
SPATA7_e3,288,21,0.07291666666666667,True
SPDL1_e2A,231,9,0.03896103896103896,True
SPTB_e31,150,0,0.0,True
ST7_e7,207,0,0.0,True
STAG3_e10,332,32,0.0963855421686747,True
STKLD1_e8,306,11,0.03594771241830065,True
STRN3_e8,307,137,0.44625407166123776,True
SUZ12_e4,207,0,0.0,True
TASOR2_e4,276,23,0.08333333333333333,True
TBCK_e21,107,2,0.018691588785046728,True
TESMIN_e4,344,12,0.03488372093023256,True
TEX14_e20,311,256,0.8231511254019293,False
TFEC_e3,261,196,0.7509578544061303,False
TH_e6,153,27,0.17647058823529413,True
TMEM161B_e2,394,143,0.3629441624365482,True
TMPRSS3_e7,120,6,0.05,True
TNIK_e14,261,26,0.09961685823754789,True
TNNT2_e10,18,18,1.0,False
TNNT3_e10,261,0,0.0,True
TP53_e3,66,2,0.030303030303030304,True
TP53_e6,338,33,0.09763313609467456,True
TP53_e7,330,299,0.906060606060606,False
TRAF3IP1_e8,288,16,0.05555555555555555,True
TRAF3IP1_e9,302,33,0.10927152317880795,True
TRAF7_e12,147,16,0.10884353741496598,True
TRPM6_e23,294,44,0.14965986394557823,True
TSC1_e10,270,4,0.014814814814814815,True
TSC2_e20,286,11,0.038461538461538464,True
TSC2_e7,147,10,0.06802721088435375,True
TSEN2_e7,153,4,0.026143790849673203,True
TSGA10_e11,328,3,0.009146341463414634,True
UMAD1_e3,318,273,0.8584905660377359,False
UNC13A_e38,86,32,0.37209302325581395,True
UPP1_e4,316,10,0.03164556962025317,True
UQCRB_e4,410,219,0.5341463414634147,True
VARS2_e18,305,45,0.14754098360655737,True
VEGFA_e7,289,5,0.01730103806228374,True
WAS_e5,126,12,0.09523809523809523,True
WAS_e8,129,91,0.7054263565891473,True
WDR27_e19,400,123,0.3075,True
WNK1_e9,252,242,0.9603174603174603,False
YAP1_e6,143,3,0.02097902097902098,True
ZBBX_e19,326,136,0.4171779141104294,True
ZFAND5_e2,406,21,0.05172413793103448,True
ZMYND11_e8,154,40,0.2597402597402597,True
ZNF345_e3,276,135,0.4891304347826087,True
